Tlabs         1S0           3P0           3P1           1D2         
1.00          32.79         0.14          -0.08         0.00        
5.00          54.88         1.61          -0.89         0.04        
10.00         55.26         3.81          -2.04         0.17        
25.00         48.75         8.77          -4.88         0.70        
50.00         39.05         11.74         -8.27         1.69        
100.00        25.18         9.61          -13.32        3.72        
150.00        15.11         4.80          -17.54        5.61        
200.00        7.19          -0.20         -21.18        7.19        
250.00        0.72          -4.79         -24.26        8.42        
300.00        -4.64         -8.79         -26.74        9.33        
