Tlab                     1S0                      3P0                      1P1                      3P1                      3S1                      3D1                      E1                      
1.0000                   62.0616                  0.1808                   -0.1930                  -0.1064                  147.7475                 -0.0052                  0.1058                  
5.0000                   63.5868                  1.6454                   -1.5375                  -0.9176                  118.1619                 -0.1858                  0.6767                  
10.0000                  59.8801                  3.7064                   -3.1579                  -2.0149                  102.5648                 -0.6872                  1.1700                  
25.0000                  50.6800                  8.2273                   -6.5975                  -4.7511                  80.4509                  -2.8602                  1.8255                  
50.0000                  39.9595                  10.4404                  -10.0094                 -8.1364                  62.2749                  -6.6473                  2.1907                  
100.0000                 25.3000                  5.9906                   -14.4198                 -13.9361                 41.8795                  -12.9048                 2.5772                  
150.0000                 14.7325                  -2.4932                  -18.1352                 -20.1443                 28.3688                  -17.5656                 2.8426                  
200.0000                 6.6229                   -12.3926                 -21.6697                 -27.0669                 17.9195                  -20.8106                 2.8799                  
250.0000                 0.5921                   -22.8834                 -24.8796                 -34.5252                 9.4919                   -22.5097                 2.5500                  
300.0000                 -3.3390                  -33.4931                 -27.3441                 -42.1539                 2.8419                   -22.3831                 1.7550                  
