Tlab                     1S0                      3P0                     
1.0000                   57.5593                  0.2092                  
5.0000                   60.9762                  1.8597                  
10.0000                  57.7976                  4.1121                  
25.0000                  49.1077                  8.9107                  
50.0000                  38.7204                  11.4935                 
100.0000                 24.4982                  9.0313                  
150.0000                 14.2124                  4.2841                  
200.0000                 6.0223                   -0.3640                 
250.0000                 -0.7723                  -4.3393                 
300.0000                 -6.5007                  -7.4837                 
