Tlab                     1S0                      3P0                     
1.0000                   62.0222                  0.1810                  
5.0000                   63.5084                  1.6486                  
10.0000                  59.7798                  3.7190                  
25.0000                  50.5763                  8.3340                  
50.0000                  39.9527                  11.0186                 
100.0000                 25.6713                  8.7621                  
150.0000                 15.5216                  3.9529                  
200.0000                 7.5902                   -1.0183                 
250.0000                 1.1429                   -5.5686                 
300.0000                 -4.1806                  -9.5319                 
