Tlab                     1S0                      3P0                      1P1                      3P1                      1D2                      3D2                      3S1                      3D1                      E1                       3P2                      3F2                      E2                      
1.0000                   62.0222                  0.1810                   -0.1907                  -0.1071                  0.0011                   0.0060                   147.7424                 -0.0052                  0.1053                   0.0228                   0.0000                   -0.0013                 
5.0000                   63.5084                  1.6486                   -1.5156                  -0.9244                  0.0417                   0.2234                   118.1650                 -0.1846                  0.6711                   0.2610                   0.0016                   -0.0487                 
10.0000                  59.7798                  3.7190                   -3.1067                  -2.0333                  0.1573                   0.8511                   102.5884                 -0.6814                  1.1548                   0.7307                   0.0111                   -0.1830                 
25.0000                  50.5763                  8.3340                   -6.4826                  -4.8094                  0.6774                   3.7226                   80.5687                  -2.8174                  1.7697                   2.6021                   0.0912                   -0.7489                 
50.0000                  39.9527                  11.0186                  -9.9224                  -8.1911                  1.6916                   8.9696                   62.6344                  -6.4702                  2.0493                   5.9048                   0.3069                   -1.6086                 
100.0000                 25.6713                  8.7621                   -14.6567                 -13.3012                 3.7926                   17.2276                  42.9843                  -12.2777                 2.2879                   10.9367                  0.7511                   -2.5518                 
150.0000                 15.5216                  3.9529                   -18.5534                 -17.5627                 5.7250                   22.1241                  30.4964                  -16.4705                 2.5429                   13.9239                  1.0659                   -2.8195                 
200.0000                 7.5902                   -1.0183                  -21.8786                 -21.2367                 7.3267                   24.6492                  21.2054                  -19.5737                 2.8135                   15.6324                  1.2014                   -2.7586                 
250.0000                 1.1429                   -5.5686                  -24.5936                 -24.3251                 8.5630                   25.7230                  13.8339                  -21.8853                 3.0608                   16.5692                  1.1578                   -2.5469                 
300.0000                 -4.1806                  -9.5319                  -26.6552                 -26.8038                 9.4668                   25.9455                  7.8075                   -23.5715                 3.2550                   17.0083                  0.9647                   -2.2728                 
