r,density
0.05,8.60E-02
0.15,9.92E-02
0.25,9.68E-02
0.35,9.47E-02
0.45,9.41E-02
0.55,9.20E-02
0.65,8.89E-02
0.75,8.61E-02
0.85,8.18E-02
0.95,8.00E-02
1.05,7.59E-02
1.15,7.45E-02
1.25,7.26E-02
1.35,6.98E-02
1.45,6.97E-02
1.55,6.75E-02
1.65,6.68E-02
1.75,6.63E-02
1.85,6.67E-02
1.95,6.65E-02
2.05,6.66E-02
2.15,6.68E-02
2.25,6.72E-02
2.35,6.76E-02
2.45,6.76E-02
2.55,6.69E-02
2.65,6.62E-02
2.75,6.53E-02
2.85,6.39E-02
2.95,6.26E-02
3.05,6.02E-02
3.15,5.81E-02
3.25,5.52E-02
3.35,5.22E-02
3.45,4.89E-02
3.55,4.54E-02
3.65,4.19E-02
3.75,3.82E-02
3.85,3.48E-02
3.95,3.12E-02
4.05,2.79E-02
4.15,2.48E-02
4.25,2.19E-02
4.35,1.91E-02
4.45,1.66E-02
4.55,1.44E-02
4.65,1.23E-02
4.75,1.05E-02
4.85,8.93E-03
4.95,7.56E-03
5.05,6.37E-03
5.15,5.33E-03
5.25,4.43E-03
5.35,3.74E-03
5.45,3.09E-03
5.55,2.58E-03
5.65,2.10E-03
5.75,1.75E-03
5.85,1.44E-03
5.95,1.18E-03
6.05,9.61E-04
6.15,7.88E-04
6.25,6.56E-04
6.35,5.31E-04
6.45,4.35E-04
6.55,3.43E-04
6.65,2.82E-04
6.75,2.34E-04
6.85,1.89E-04
6.95,1.53E-04
7.05,1.27E-04
7.15,1.02E-04
7.25,7.98E-05
7.35,6.71E-05
7.45,5.39E-05
7.55,4.25E-05
7.65,3.41E-05
7.75,2.77E-05
7.85,2.32E-05
7.95,1.86E-05
8.05,1.56E-05
8.15,1.26E-05
8.25,9.79E-06
8.35,8.21E-06
8.45,6.39E-06
8.55,5.93E-06
8.65,4.07E-06
8.75,3.51E-06
8.85,3.09E-06
8.95,1.85E-06
9.05,1.81E-06
9.15,1.49E-06
9.25,1.18E-06
9.35,1.13E-06
9.45,8.32E-07
9.55,6.93E-07
9.65,6.43E-07
9.75,4.24E-07
9.85,4.00E-07
9.95,2.55E-07
10.05,1.51E-07
10.15,1.89E-07
10.25,1.26E-07
10.35,1.82E-07
10.45,6.57E-08
10.55,7.24E-08
10.65,6.87E-08
10.75,4.63E-08
10.85,-1.53E-09
10.95,3.76E-08
11.05,1.09E-08
11.15,4.50E-08
11.25,3.65E-10
11.35,2.26E-08
11.45,0.00E+00
11.55,1.91E-08
11.65,1.42E-08
11.75,1.79E-08
11.85,7.42E-09
11.95,0.00E+00
12.05,-1.05E-09
12.15,0.00E+00
12.25,0.00E+00
12.35,-3.70E-09
12.45,0.00E+00
12.55,1.18E-09
12.65,-1.43E-09
12.75,8.35E-10
